Cycle | PC   IR   AC    MAR  MBR
---------------------------------
Cycle | PC   IR   AC    MAR  MBR
---------------------------------
    1 | 0001 100B 0000 000B 0000
    2 | 0002 300D 0001 000D 0001
    3 | 0003 200B 0001 000B 0001
    4 | 0004 100C 0005 000C 0005
    5 | 0005 400D 0004 000D 0001
    6 | 0006 200C 0004 000C 0004
    7 | 0007 100C 0004 000C 0004
    8 | 0008 8400 0004 0007 8400
    9 | 0001 9001 0004 0008 9001
   10 | 0002 300D 0005 000D 0001
   11 | 0003 200B 0005 000B 0005
   12 | 0004 100C 0004 000C 0004
   13 | 0005 400D 0003 000D 0001
   14 | 0006 200C 0003 000C 0003
   15 | 0007 100C 0003 000C 0003
   16 | 0008 8400 0003 0007 8400
   17 | 0001 9001 0003 0008 9001
   18 | 0002 300D 0004 000D 0001
   19 | 0003 200B 0004 000B 0004
   20 | 0004 100C 0003 000C 0003
   21 | 0005 400D 0002 000D 0001
   22 | 0006 200C 0002 000C 0002
   23 | 0007 100C 0002 000C 0002
   24 | 0008 8400 0002 0007 8400
   25 | 0001 9001 0002 0008 9001
   26 | 0002 300D 0003 000D 0001
   27 | 0003 200B 0003 000B 0003
   28 | 0004 100C 0002 000C 0002
   29 | 0005 400D 0001 000D 0001
   30 | 0006 200C 0001 000C 0001
   31 | 0007 100C 0001 000C 0001
   32 | 0008 8400 0001 0007 8400
   33 | 0001 9001 0001 0008 9001
   34 | 0002 300D 0002 000D 0001
   35 | 0003 200B 0002 000B 0002
   36 | 0004 100C 0001 000C 0001
   37 | 0005 400D 0000 000D 0001
   38 | 0006 200C 0000 000C 0000
   39 | 0007 100C 0000 000C 0000
   40 | 0009 8400 0000 0007 8400
   41 | 000A 6000 0000 0009 0000
   42 | 000B 7000 0000 000A 7000
